"Part";"Value";"Device";"Package";"Description";"";
"C1";"6.8nF";"CAPC0603";"C0603";"";"";
"C2";"100nF";"CAPC0603";"C0603";"";"";
"C3";"10uF";"CAPC0603";"C0603";"";"";
"C4";"100nF";"CAPC0603";"C0603";"";"";
"C5";"100nF";"CAPC0603";"C0603";"";"";
"C6";"22uF";"CAP-TANT-HUNANB-3528";"CASE-B-3528";"";"";
"C7";"10uF";"CAPC0603";"C0603";"";"";
"C8";"10uF";"CAPC0603";"C0603";"";"";
"C9";"100nF";"CAPC0603";"C0603";"";"";
"C10";"47pF";"CAPC0603";"C0603";"";"";
"C11";"47pF";"CAPC0603";"C0603";"";"";
"C12";"47pF";"CAPC0603";"C0603";"";"";
"C13";"47pF";"CAPC0603";"C0603";"";"";
"C14";"47pF";"CAPC0603";"C0603";"";"";
"C15";"47pF";"CAPC0603";"C0603";"";"";
"C16";"47pF";"CAPC0603";"C0603";"";"";
"C17";"47pF";"CAPC0603";"C0603";"";"";
"C18";"47pF";"CAPC0603";"C0603";"";"";
"C19";"47pF";"CAPC0603";"C0603";"";"";
"D1";"B5819W";"DIODE-SCHOTTKYSOD-123";"SOD-123";"304020028";"";
"FB1";"MPZ1608S300ATAH0";"BEADMPZ1608";"MPZ1608";"";"";
"H1";"MOUNTHOLE-PAD3.2";"MOUNTHOLE-PAD3.2";"3.2-PAD";"";"";
"H2";"MOUNTHOLE-PAD3.2";"MOUNTHOLE-PAD3.2";"3.2-PAD";"";"";
"H3";"MOUNTHOLE-PAD3.2";"MOUNTHOLE-PAD3.2";"3.2-PAD";"";"";
"H4";"MOUNTHOLE-PAD3.2";"MOUNTHOLE-PAD3.2";"3.2-PAD";"";"";
"J1";"12V";"CONN-POWER-JACK-2.1MM(DC-005)5DJ20DC02";"5DJ20DC02-03T0BLB-01-14.5X10.7.0X9.0MM";"320120003";"";
"R1";"22R";"RESISTOR0603";"R0603";"";"";
"R2";"22R";"RESISTOR0603";"R0603";"";"";
"R3";"100K";"RESISTOR0603";"R0603";"";"";
"R4";"100K";"RESISTOR0603";"R0603";"";"";
"R5";"100R";"RESISTOR0603";"R0603";"";"";
"R6";"100R";"RESISTOR0603";"R0603";"";"";
"R9";"1K";"RESISTOR0603";"R0603";"";"";
"R12";"47K";"RESISTOR0603";"R0603";"";"";
"R13";"47K";"RESISTOR0603";"R0603";"";"";
"R14";"47K";"RESISTOR0603";"R0603";"";"";
"R15";"47K";"RESISTOR0603";"R0603";"";"";
"R16";"100K";"RESISTOR0603";"R0603";"";"";
"R17";"100K";"RESISTOR0603";"R0603";"";"";
"R18";"100K";"RESISTOR0603";"R0603";"";"";
"R19";"100K";"RESISTOR0603";"R0603";"";"";
"R20";"47K";"RESISTOR0603";"R0603";"";"";
"R21";"47K";"RESISTOR0603";"R0603";"";"";
"R22";"47K";"RESISTOR0603";"R0603";"";"";
"R23";"47K";"RESISTOR0603";"R0603";"";"";
"R24";"100K";"RESISTOR0603";"R0603";"";"";
"R25";"100K";"RESISTOR0603";"R0603";"";"";
"R26";"100K";"RESISTOR0603";"R0603";"";"";
"R27";"100K";"RESISTOR0603";"R0603";"";"";
"R28";"47K";"RESISTOR0603";"R0603";"";"";
"R29";"47K";"RESISTOR0603";"R0603";"";"";
"R30";"47K";"RESISTOR0603";"R0603";"";"";
"R31";"47K";"RESISTOR0603";"R0603";"";"";
"R32";"47K";"RESISTOR0603";"R0603";"";"";
"R33";"47K";"RESISTOR0603";"R0603";"";"";
"R34";"47K";"RESISTOR0603";"R0603";"";"";
"R35";"47K";"RESISTOR0603";"R0603";"";"";
"R38";"124";"RESISTOR0603";"R0603";"";"";
"R39";"768";"RESISTOR0603";"R0603";"";"";
"T1";"EI-14";"TRANSFORMEREI14";"TRANSFORMER_EI14";"";"";
"T2";"EI-14";"TRANSFORMEREI14";"TRANSFORMER_EI14";"";"";
"T3";"EI-14";"TRANSFORMEREI14";"TRANSFORMER_EI14";"";"";
"T4";"EI-14";"TRANSFORMEREI14";"TRANSFORMER_EI14";"";"";
"T5";"EI-14";"TRANSFORMEREI14";"TRANSFORMER_EI14";"";"";
"T6";"EI-14";"TRANSFORMEREI14";"TRANSFORMER_EI14";"";"";
"T7";"EI-14";"TRANSFORMEREI14";"TRANSFORMER_EI14";"";"";
"T8";"EI-14";"TRANSFORMEREI14";"TRANSFORMER_EI14";"";"";
"T9";"EI-14";"TRANSFORMEREI14";"TRANSFORMER_EI14";"";"";
"T10";"EI-14";"TRANSFORMEREI14";"TRANSFORMER_EI14";"";"";
"U1";"LM324D";"OPAMP-LM324D";"SOIC-14";"";"";
